Transaction Amount,Transaction Country,Transaction Currency,Transaction Time,Transaction Day,Card Issuer,Card Type,Online Purchase,First Purchase,Customer Age,Account Age,Fraudulent
6893,Other,CAD,9,Weekday,Amex,Debit,1,0,46,4,0
1679,UK,GBP,9,Weekend,MasterCard,Credit,0,0,42,9,0
3243,Other,CAD,3,Weekday,Amex,Debit,1,0,40,0,0
4637,US,CAD,11,Weekday,Visa,Debit,0,0,55,8,0
1060,AU,AUD,5,Weekend,Visa,Credit,0,1,44,8,0
6669,UK,GBP,12,Weekday,Amex,Credit,1,0,59,0,0
9915,CA,GBP,20,Weekend,Visa,Debit,1,0,40,3,0
3158,US,USD,0,Weekend,Discover,Credit,1,0,36,11,0
5916,US,GBP,7,Weekday,Amex,Credit,1,0,45,3,0
9790,Other,USD,22,Weekend,MasterCard,Debit,0,0,51,9,0
2694,US,GBP,15,Weekend,MasterCard,Debit,1,0,24,7,0
3628,UK,CAD,4,Weekday,Amex,Credit,1,1,68,1,1
9556,Other,USD,6,Weekend,Visa,Debit,1,0,30,6,0
5451,US,GBP,2,Weekday,Amex,Debit,1,0,21,7,0
1664,CA,USD,23,Weekday,Amex,Credit,1,0,28,2,0
9722,UK,AUD,20,Weekend,MasterCard,Debit,1,0,67,12,0
5593,CA,AUD,1,Weekend,Discover,Credit,0,0,38,9,0
7393,CA,USD,1,Weekday,Discover,Credit,1,0,38,2,0
1307,Other,USD,19,Weekend,Amex,Debit,1,0,60,8,0
6777,AU,CAD,22,Weekday,MasterCard,Credit,1,0,62,7,0
5865,Other,GBP,9,Weekend,MasterCard,Debit,0,0,59,0,0
9475,UK,AUD,19,Weekday,Amex,Debit,1,0,43,1,0
7527,UK,AUD,8,Weekday,Amex,Debit,1,0,48,3,0
8902,Other,GBP,17,Weekend,Amex,Debit,1,0,66,10,0
5576,AU,AUD,5,Weekend,Discover,Credit,1,0,21,5,0
5531,Other,AUD,19,Weekend,Amex,Debit,1,1,20,12,1
4414,UK,USD,5,Weekday,MasterCard,Credit,1,0,56,2,0
3749,AU,AUD,9,Weekday,Amex,Debit,0,0,65,3,0
664,UK,AUD,8,Weekend,MasterCard,Debit,0,0,38,3,0
1999,AU,AUD,8,Weekend,MasterCard,Credit,1,0,55,9,0
7995,AU,GBP,2,Weekday,Visa,Credit,0,0,35,6,0
1496,Other,CAD,11,Weekend,MasterCard,Debit,1,0,50,6,0
3305,Other,USD,10,Weekend,Visa,Credit,0,0,68,6,0
3764,Other,CAD,13,Weekday,Amex,Credit,0,1,59,3,1
5233,AU,AUD,18,Weekend,Visa,Credit,0,1,52,11,0
1854,AU,AUD,9,Weekday,Discover,Debit,1,0,49,4,0
6586,UK,AUD,18,Weekday,Discover,Debit,1,0,28,3,0
1292,CA,CAD,4,Weekend,Discover,Debit,1,0,56,8,0
3582,Other,GBP,21,Weekend,Amex,Credit,1,0,48,3,0
7555,UK,GBP,8,Weekend,MasterCard,Debit,1,0,47,0,0
7281,UK,USD,0,Weekday,Discover,Debit,0,0,55,7,0
1637,US,CAD,14,Weekday,Visa,Credit,0,0,63,12,0
3697,Other,GBP,23,Weekday,Amex,Debit,1,0,37,5,0
699,UK,USD,3,Weekend,Amex,Debit,1,0,57,1,0
4738,US,AUD,6,Weekday,Visa,Debit,1,0,43,0,0
855,Other,AUD,5,Weekday,Visa,Credit,1,0,28,9,0
8165,AU,USD,14,Weekday,Amex,Credit,0,0,19,6,0
5856,US,GBP,5,Weekend,Amex,Debit,0,0,56,7,0
7393,AU,CAD,6,Weekday,MasterCard,Debit,1,0,34,9,0
6529,CA,USD,19,Weekend,Amex,Credit,0,1,41,8,0
5250,CA,GBP,21,Weekend,Visa,Credit,0,0,47,10,0
5173,CA,USD,2,Weekday,Amex,Credit,0,0,54,3,0
1708,CA,GBP,20,Weekday,Amex,Debit,1,1,23,6,0
5792,UK,AUD,12,Weekday,Visa,Debit,0,0,66,4,0
9926,CA,USD,1,Weekend,MasterCard,Credit,0,0,40,1,0
5536,UK,CAD,2,Weekend,Amex,Credit,1,0,64,2,0
4932,UK,USD,12,Weekend,Discover,Debit,0,0,52,7,0
3511,Other,AUD,8,Weekend,Discover,Credit,0,1,67,9,0
203,UK,AUD,21,Weekday,Visa,Debit,0,0,64,10,0
4219,UK,GBP,18,Weekday,Visa,Credit,0,0,43,4,0
8959,CA,AUD,17,Weekend,Visa,Debit,1,0,42,2,0
4390,UK,GBP,4,Weekend,Discover,Credit,0,0,53,7,0
2328,AU,AUD,9,Weekend,Visa,Debit,1,0,38,6,0
8005,CA,GBP,13,Weekend,Discover,Credit,0,0,59,6,0
2932,US,CAD,20,Weekend,MasterCard,Debit,1,0,60,6,0
7778,CA,GBP,16,Weekend,Visa,Debit,1,0,40,4,0
198,UK,GBP,2,Weekend,Amex,Debit,1,0,18,3,0
7126,AU,CAD,6,Weekend,MasterCard,Credit,1,1,27,5,1
1931,CA,GBP,8,Weekday,Discover,Debit,0,1,42,5,0
6288,AU,GBP,4,Weekday,Visa,Debit,1,0,39,5,0
8801,US,CAD,3,Weekend,Amex,Debit,1,0,64,10,0
9340,US,AUD,2,Weekday,Discover,Credit,1,0,25,7,0
4283,Other,USD,12,Weekday,MasterCard,Credit,0,0,58,5,0
2512,Other,GBP,8,Weekday,Amex,Credit,0,0,50,9,0
9987,CA,AUD,22,Weekend,MasterCard,Debit,1,0,70,3,0
660,Other,USD,6,Weekend,Visa,Credit,1,0,29,9,0
2812,AU,CAD,7,Weekend,Amex,Debit,1,0,65,9,0
7099,Other,GBP,9,Weekday,Visa,Credit,1,0,56,11,0
6547,AU,GBP,0,Weekend,Discover,Credit,0,0,29,3,0
9562,Other,CAD,19,Weekday,Discover,Credit,1,0,29,4,0
1987,Other,GBP,20,Weekend,MasterCard,Debit,1,0,28,6,0
8339,Other,USD,20,Weekend,Visa,Debit,1,0,65,10,0
2912,UK,USD,0,Weekday,Visa,Credit,0,1,25,12,0
1735,UK,CAD,18,Weekend,Amex,Credit,1,0,68,0,0
1844,Other,GBP,1,Weekday,Discover,Debit,0,0,25,0,0
8681,AU,AUD,11,Weekend,Visa,Debit,1,1,54,4,0
2977,CA,GBP,22,Weekend,Visa,Debit,1,0,66,4,0
1960,US,CAD,12,Weekend,Visa,Debit,1,0,33,10,0
5760,UK,AUD,13,Weekday,Discover,Credit,1,0,53,11,0
6695,Other,USD,4,Weekend,Discover,Credit,1,0,35,0,0
2386,US,USD,2,Weekday,Discover,Credit,1,0,61,6,0
4737,UK,AUD,23,Weekday,MasterCard,Debit,0,0,38,6,0
1803,CA,AUD,16,Weekday,Discover,Debit,1,0,21,3,0
8156,AU,CAD,0,Weekend,Discover,Credit,1,0,67,1,0
8121,Other,GBP,13,Weekend,Discover,Credit,0,0,24,1,0
6617,CA,USD,5,Weekend,Amex,Credit,1,0,51,3,0
5535,UK,GBP,16,Weekend,Amex,Credit,0,0,51,1,0
4062,Other,USD,3,Weekend,Visa,Credit,0,0,62,0,0
263,US,GBP,5,Weekday,Amex,Debit,0,0,53,0,0
6288,AU,USD,0,Weekday,MasterCard,Credit,1,0,54,7,0
8816,UK,GBP,8,Weekday,MasterCard,Debit,1,0,47,1,0
9209,AU,CAD,3,Weekday,Visa,Debit,1,0,43,8,0
2050,Other,USD,8,Weekday,Visa,Debit,0,0,29,1,0
5424,CA,CAD,8,Weekday,MasterCard,Credit,0,0,28,10,0
4549,AU,USD,21,Weekend,MasterCard,Debit,1,0,46,10,0
3109,US,USD,12,Weekday,MasterCard,Credit,0,0,20,3,0
7159,UK,USD,22,Weekday,Visa,Credit,1,1,28,6,0
7401,US,GBP,16,Weekday,MasterCard,Debit,1,0,26,6,0
3171,AU,USD,20,Weekday,Visa,Credit,1,0,43,9,0
9875,CA,CAD,2,Weekend,MasterCard,Debit,1,0,25,10,0
2256,CA,GBP,5,Weekday,MasterCard,Credit,0,1,38,7,0
1155,US,GBP,19,Weekend,Amex,Credit,1,0,25,2,0
4500,Other,USD,14,Weekend,MasterCard,Debit,0,0,59,0,0
6296,Other,AUD,13,Weekday,Visa,Debit,1,0,23,11,0
6198,CA,GBP,12,Weekday,MasterCard,Credit,1,0,35,3,0
9889,US,USD,8,Weekend,Discover,Debit,1,0,23,2,0
1649,US,CAD,22,Weekday,Amex,Debit,0,0,38,10,0
5540,US,AUD,14,Weekday,MasterCard,Credit,1,0,61,3,0
9638,AU,GBP,13,Weekday,MasterCard,Debit,1,0,65,5,0
4200,Other,AUD,3,Weekend,Discover,Debit,1,1,70,0,1
8446,Other,GBP,10,Weekday,Discover,Credit,1,0,65,12,0
2558,AU,AUD,21,Weekend,Discover,Debit,1,0,40,0,0
5593,UK,AUD,1,Weekend,Discover,Credit,1,0,53,12,0
99,AU,CAD,15,Weekend,Discover,Debit,1,1,35,11,0
2201,US,AUD,18,Weekday,Discover,Credit,1,0,44,11,0
2962,AU,CAD,15,Weekend,MasterCard,Debit,1,1,62,11,1
4974,US,USD,6,Weekday,Visa,Credit,1,1,20,1,0
4434,CA,GBP,10,Weekend,MasterCard,Credit,0,0,29,9,0
2870,US,CAD,11,Weekday,MasterCard,Credit,1,1,37,9,0
957,Other,GBP,3,Weekday,MasterCard,Debit,1,0,36,11,0
8353,AU,CAD,15,Weekend,Amex,Credit,0,0,40,2,0
5700,US,GBP,15,Weekend,Visa,Credit,0,1,22,11,0
6945,UK,CAD,6,Weekend,Visa,Debit,1,0,68,4,0
4494,CA,GBP,12,Weekday,Amex,Credit,1,0,36,8,0
9493,UK,USD,4,Weekday,Visa,Credit,0,1,29,5,0
4912,UK,GBP,0,Weekday,Amex,Credit,1,0,45,4,0
3988,UK,USD,4,Weekend,MasterCard,Credit,1,0,54,7,0
9720,CA,USD,21,Weekday,Visa,Debit,0,0,51,0,0
6016,CA,USD,13,Weekday,MasterCard,Debit,0,0,33,6,0
1219,CA,AUD,10,Weekday,Discover,Debit,1,0,70,7,0
4497,CA,GBP,1,Weekend,MasterCard,Credit,0,0,21,12,0
4736,UK,AUD,23,Weekend,Visa,Debit,0,0,64,8,0
4556,Other,AUD,17,Weekday,MasterCard,Credit,0,0,59,10,0
9147,Other,GBP,14,Weekend,MasterCard,Credit,0,0,23,8,0
8051,CA,USD,13,Weekend,Amex,Debit,0,0,24,11,0
3447,AU,AUD,12,Weekend,Visa,Credit,0,0,51,12,0
1046,US,AUD,1,Weekend,MasterCard,Credit,1,0,21,7,0
6894,AU,CAD,18,Weekend,Amex,Debit,1,0,32,9,0
1694,AU,GBP,7,Weekend,Visa,Debit,0,0,30,2,0
3437,AU,AUD,21,Weekend,Discover,Credit,1,0,26,5,0
8755,Other,GBP,16,Weekend,MasterCard,Credit,0,0,54,4,0
5896,US,GBP,14,Weekend,MasterCard,Credit,1,0,34,2,0
3355,AU,AUD,19,Weekday,MasterCard,Credit,0,0,55,1,0
226,CA,GBP,20,Weekday,MasterCard,Debit,1,0,31,1,0
4894,Other,USD,13,Weekend,MasterCard,Debit,0,0,54,9,0
7023,CA,AUD,2,Weekend,Discover,Credit,1,1,48,9,1
9152,CA,AUD,16,Weekend,Discover,Debit,0,0,19,9,0
5601,AU,AUD,2,Weekend,Visa,Credit,0,0,63,3,0
7997,CA,CAD,12,Weekday,Visa,Debit,1,0,36,8,0
9008,US,CAD,17,Weekend,Amex,Debit,1,0,36,1,0
7684,CA,CAD,0,Weekday,Amex,Credit,1,0,30,4,0
4643,AU,CAD,6,Weekday,Amex,Debit,1,0,38,12,0
7680,CA,AUD,22,Weekday,Discover,Credit,0,0,48,7,0
8209,Other,USD,4,Weekday,Visa,Debit,1,0,61,9,0
7340,Other,GBP,1,Weekday,Visa,Debit,1,0,45,10,0
9436,Other,GBP,16,Weekday,Discover,Credit,0,0,18,1,0
2206,UK,AUD,20,Weekend,Visa,Debit,1,0,52,6,0
1070,Other,USD,9,Weekend,MasterCard,Debit,1,0,27,11,0
3445,Other,GBP,3,Weekday,Visa,Credit,0,0,25,5,0
1061,UK,USD,8,Weekend,Visa,Debit,0,0,30,0,0
2328,Other,AUD,20,Weekday,MasterCard,Debit,0,1,36,12,0
3421,AU,CAD,10,Weekend,Amex,Credit,1,0,20,6,0
302,Other,USD,11,Weekday,Amex,Credit,1,0,20,9,0
607,Other,GBP,11,Weekday,Amex,Debit,1,0,44,8,0
3171,UK,GBP,17,Weekend,Discover,Debit,1,0,35,0,0
700,AU,GBP,3,Weekday,MasterCard,Credit,0,0,52,1,0
5089,CA,CAD,8,Weekend,MasterCard,Credit,0,0,61,6,0
9332,US,USD,7,Weekday,Discover,Debit,1,0,51,0,0
191,AU,USD,18,Weekend,MasterCard,Debit,1,0,47,12,0
981,CA,GBP,23,Weekend,Visa,Credit,0,0,25,1,0
2976,AU,USD,12,Weekend,Amex,Debit,0,0,38,2,0
6103,CA,GBP,1,Weekend,MasterCard,Debit,0,0,63,1,0
1185,CA,USD,18,Weekend,MasterCard,Credit,0,0,36,12,0
3328,AU,CAD,13,Weekday,Amex,Debit,0,0,60,1,0
3395,UK,CAD,4,Weekday,Discover,Debit,0,0,65,1,0
8320,AU,AUD,9,Weekend,Amex,Credit,0,1,63,6,1
1817,AU,AUD,23,Weekday,Discover,Debit,1,0,57,9,0
5855,CA,AUD,16,Weekday,Discover,Debit,1,0,47,3,0
6710,US,USD,19,Weekend,Visa,Credit,1,0,44,3,0
570,CA,CAD,15,Weekend,Amex,Credit,1,0,37,7,0
5443,Other,CAD,16,Weekday,MasterCard,Credit,1,0,31,4,0
1896,AU,CAD,0,Weekend,Discover,Debit,1,1,29,0,0
2734,AU,GBP,20,Weekend,Visa,Debit,0,0,66,1,0
3864,UK,USD,21,Weekend,Amex,Debit,1,0,40,9,0
7456,CA,USD,14,Weekday,Discover,Debit,0,0,29,11,0
4015,UK,AUD,16,Weekend,Visa,Credit,0,0,70,2,0
1687,AU,GBP,10,Weekday,MasterCard,Credit,1,1,61,3,0
3010,CA,GBP,21,Weekend,Discover,Credit,0,0,61,8,0
7807,CA,CAD,4,Weekday,Discover,Debit,1,0,56,9,0
155,Other,AUD,3,Weekend,MasterCard,Credit,1,1,59,9,1
1410,Other,USD,20,Weekend,MasterCard,Debit,0,1,47,4,0
785,US,GBP,23,Weekend,MasterCard,Debit,0,0,65,10,0
8097,Other,CAD,8,Weekday,Discover,Debit,0,0,44,12,0
7561,CA,USD,15,Weekday,Visa,Credit,1,1,41,10,1
7344,Other,CAD,11,Weekday,Visa,Debit,0,0,20,5,0
7207,US,USD,17,Weekday,MasterCard,Debit,1,1,47,10,0
5597,AU,CAD,21,Weekend,Visa,Credit,0,0,52,10,0
5802,Other,USD,2,Weekend,MasterCard,Credit,0,0,50,2,0
2807,CA,AUD,14,Weekday,MasterCard,Debit,1,0,54,12,0
538,AU,USD,17,Weekday,Amex,Debit,1,0,57,1,0
5987,CA,USD,11,Weekday,Visa,Debit,1,0,66,1,0
1842,AU,USD,12,Weekday,Discover,Credit,1,0,33,5,0
8717,CA,CAD,0,Weekday,Amex,Credit,1,0,65,12,0
6972,Other,GBP,3,Weekday,MasterCard,Credit,1,1,35,5,1
5626,Other,USD,7,Weekend,Amex,Credit,1,0,35,11,0
2951,US,USD,18,Weekday,MasterCard,Credit,1,0,31,6,0
7993,AU,AUD,20,Weekday,MasterCard,Debit,1,0,49,8,0
4781,US,USD,20,Weekday,MasterCard,Debit,1,0,29,2,0
2369,UK,AUD,4,Weekend,Visa,Debit,0,0,59,6,0
6656,Other,USD,10,Weekday,MasterCard,Debit,1,0,19,6,0
8174,AU,CAD,23,Weekend,MasterCard,Credit,0,0,70,7,0
4496,US,GBP,23,Weekend,Visa,Credit,0,0,43,4,0
9164,US,GBP,16,Weekday,Visa,Debit,1,0,40,2,0
6003,UK,GBP,16,Weekend,MasterCard,Debit,0,0,52,10,0
6615,US,CAD,1,Weekday,Visa,Credit,1,0,50,10,0
9359,CA,AUD,23,Weekend,Discover,Debit,0,0,58,12,0
5920,Other,GBP,0,Weekday,Discover,Debit,1,0,42,1,0
854,US,CAD,3,Weekday,MasterCard,Credit,1,0,21,3,0
4147,US,CAD,8,Weekend,Amex,Debit,1,0,38,11,0
3770,UK,USD,1,Weekday,Visa,Credit,1,0,65,7,0
575,CA,AUD,2,Weekday,Amex,Debit,0,0,21,4,0
1149,US,CAD,5,Weekend,Discover,Debit,1,1,48,0,0
6294,Other,AUD,12,Weekend,MasterCard,Debit,0,0,66,11,0
6458,Other,GBP,14,Weekday,Discover,Credit,0,0,32,11,0
7510,US,GBP,10,Weekend,Visa,Credit,1,1,21,2,1
9908,CA,GBP,9,Weekday,Visa,Credit,1,0,21,4,0
4778,Other,USD,2,Weekend,MasterCard,Credit,0,0,61,5,0
3855,Other,USD,19,Weekend,Visa,Credit,1,0,20,1,0
2492,CA,AUD,8,Weekend,Visa,Credit,1,0,69,12,0
3125,CA,AUD,9,Weekday,Visa,Debit,1,0,22,7,0
5692,US,USD,20,Weekday,Amex,Debit,0,0,36,12,0
3052,AU,CAD,22,Weekday,MasterCard,Debit,1,0,55,11,0
5,UK,AUD,23,Weekday,MasterCard,Debit,1,0,49,6,0
5223,AU,AUD,22,Weekday,MasterCard,Credit,0,0,26,6,0
5316,AU,GBP,11,Weekend,Visa,Debit,0,0,20,10,0
4870,Other,AUD,7,Weekday,Visa,Credit,1,0,51,6,0
877,CA,AUD,20,Weekend,Visa,Debit,1,0,42,4,0
9184,Other,CAD,20,Weekend,MasterCard,Debit,1,0,70,1,0
7028,UK,AUD,20,Weekend,Amex,Credit,1,0,27,7,0
4143,US,CAD,16,Weekday,Discover,Credit,1,1,49,2,0
6967,UK,GBP,21,Weekend,MasterCard,Debit,1,0,22,2,0
7080,Other,USD,4,Weekday,MasterCard,Credit,1,0,46,1,0
7988,Other,GBP,23,Weekday,Amex,Credit,0,0,24,1,0
6800,Other,CAD,7,Weekday,Discover,Debit,0,0,32,1,0
4466,Other,CAD,17,Weekday,Discover,Credit,1,0,19,12,0
636,AU,AUD,10,Weekend,Visa,Credit,1,0,27,5,0
1694,US,AUD,21,Weekday,Discover,Credit,1,0,28,7,0
9875,AU,USD,9,Weekend,Visa,Debit,1,0,70,2,0
